datatime,ningjie_shuiliuliang_youxuanzhi,gaoya_geishuiliuliang_youxuanzhi,chuyangqi_tiaojiefa_weizhifankui,ranji_fuhe,qiji_fuhe,chuyangqi_rukou_yali,diya_qibao_yali_youxuanzhi,diya_zhuqiliuliang_youxuanzhi,gaoya_jianwenshui_liuliang,ranji_paiqi_wendu,diya_qibao_shuiwei_youxuanzhi
2024-02-29 14:55:10,32.755802,29.4515,10.296271,0.21928,0.350806,1.906689,0.108811,5.4037,1.7654,13.586913,-494.65112
2024-02-29 14:55:11,33.325104,29.4515,10.300871,0.22738,0.350806,1.905289,0.108811,5.4037,1.7654,13.586913,-494.51974
2024-02-29 14:55:12,33.136604,29.4515,10.293971,0.22338,0.348806,1.904589,0.108811,5.4037,1.7654,13.586913,-494.32486
2024-02-29 14:55:13,33.294106,29.4515,10.286971,0.22738,0.350806,1.904289,0.108811,5.4037,1.7654,13.586913,-494.0448
2024-02-29 14:55:14,33.730106,29.4515,10.291671,0.23148,0.348806,1.904589,0.108811,5.4037,1.7654,13.586913,-493.78174
2024-02-29 14:55:15,33.606808,29.4515,10.305571,0.21928,0.350806,1.904489,0.108811,5.4037,1.7654,13.586913,-493.48102
2024-02-29 14:55:16,33.13791,29.4515,10.298571,0.22338,0.352806,1.904389,0.108811,5.4037,1.7654,13.586913,-492.8416
2024-02-29 14:55:17,33.04331,29.4515,10.305571,0.22738,0.352806,1.903789,0.108811,5.4037,1.7654,13.586913,-492.29785
2024-02-29 14:55:18,33.45141,29.4515,10.314771,0.22338,0.350806,1.904189,0.108811,5.4037,1.7654,13.586913,-491.86716
2024-02-29 14:55:19,33.45141,29.4515,10.314771,0.22338,0.350806,1.904189,0.108811,5.4037,1.7654,13.586913,-491.6443
2024-02-29 14:55:20,32.53441,29.4515,10.310171,0.22738,0.350806,1.904889,0.108811,5.4037,1.7654,13.586913,-491.38684
2024-02-29 14:55:21,32.854107,29.4515,10.330971,0.21528,0.350806,1.903989,0.108811,5.4037,1.7654,13.586913,-491.06378
2024-02-29 14:55:22,33.452408,29.4515,10.282371,0.22338,0.350806,1.904089,0.108811,5.4037,1.7654,13.586913,-490.7778
2024-02-29 14:55:23,33.763508,29.4515,10.307871,0.22338,0.350806,1.904989,0.108811,5.4037,1.7654,13.586913,-490.52563
2024-02-29 14:55:24,33.51521,29.4515,10.296271,0.23148,0.350806,1.903589,0.108811,5.4037,1.7654,13.586913,-490.28036
2024-02-29 14:55:25,33.70191,29.4515,10.317071,0.22738,0.350806,1.902889,0.108811,5.4037,1.7654,13.586913,-490.0263
2024-02-29 14:55:26,33.57781,29.4515,10.310171,0.23148,0.348806,1.902189,0.108811,5.4037,1.7654,13.586913,-489.76617
